date,project,sessions,users,new_users,bounce_rate,pages_per_session,avg_session_duration_seconds,impressions,clicks,ctr,cpc,ad_spend,cpm,transactions,ecommerce_conversion_rate,revenue,roas,cpa
2024-10-07,Project Alpha,1424,1348,675,0.4924,3.47,139,40406,1004,0.0248,0.6507,653.29,16.1681,38,0.0267,2052.14,3.141,17.19
2024-10-08,Project Alpha,1679,1515,639,0.5591,3.02,206,19568,596,0.0305,0.6557,390.82,19.9724,39,0.0232,2933.16,7.505,10.02
2024-10-09,Project Alpha,1893,1653,1094,0.4041,2.98,204,31881,927,0.0291,0.8853,820.63,25.7404,26,0.0137,2039.02,2.485,31.56
2024-10-10,Project Alpha,1684,1380,848,0.4824,2.9,90,35082,866,0.0247,0.97,840.01,23.9442,50,0.0297,2401.89,2.859,16.8
2024-10-11,Project Alpha,1393,1317,629,0.338,2.19,217,43167,953,0.0221,0.5511,525.16,12.1658,28,0.0201,1248.02,2.376,18.76
2024-10-12,Project Alpha,1287,1190,630,0.5149,2.13,127,26368,745,0.0283,0.9956,741.72,28.1296,32,0.0249,2214.17,2.985,23.18
2024-10-13,Project Alpha,1813,1481,712,0.488,3.13,134,40857,988,0.0242,0.8126,802.83,19.6498,16,0.0088,1182.95,1.473,50.18
2024-10-14,Project Alpha,2171,1905,1041,0.3629,3.38,122,39446,1145,0.029,0.6959,796.79,20.1995,45,0.0207,3020.4,3.791,17.71
2024-10-15,Project Alpha,2318,2069,1367,0.6503,2.79,168,53745,1410,0.0262,0.9022,1272.1,23.6692,34,0.0147,2751.48,2.163,37.41
2024-10-16,Project Alpha,1972,1772,1240,0.5505,2.92,180,31145,1058,0.034,0.8569,906.59,29.1087,59,0.0299,3128.82,3.451,15.37
2024-10-17,Project Alpha,2482,2148,1386,0.5135,3.18,118,63954,1088,0.017,0.6414,697.82,10.9113,19,0.0077,1116.63,1.6,36.73
2024-10-18,Project Alpha,1749,1418,824,0.559,4.17,63,43943,911,0.0207,0.9802,892.94,20.3204,22,0.0126,1077.06,1.206,40.59
2024-10-19,Project Alpha,2241,2050,1320,0.5225,2.92,182,41941,999,0.0238,0.5291,528.6,12.6034,48,0.0214,2657.34,5.027,11.01
2024-10-20,Project Alpha,1166,1073,603,0.5418,2.0,120,14054,434,0.0309,0.7641,331.6,23.5947,18,0.0154,1266.71,3.82,18.42
2024-10-21,Project Alpha,1767,1442,822,0.4722,4.08,161,46582,996,0.0214,0.8196,816.29,17.5237,45,0.0255,2946.44,3.61,18.14
2024-10-22,Project Alpha,1620,1351,626,0.3097,4.32,109,42865,886,0.0207,0.9432,835.66,19.4952,55,0.034,3130.88,3.747,15.19
2024-10-23,Project Alpha,1685,1462,842,0.3718,3.47,131,32387,738,0.0228,0.807,595.57,18.3892,35,0.0208,2603.92,4.372,17.02
2024-10-24,Project Alpha,1939,1619,837,0.4412,4.91,128,39354,1387,0.0352,0.7114,986.75,25.0737,47,0.0242,2810.23,2.848,20.99
2024-10-25,Project Alpha,1232,1000,426,0.5063,2.33,132,29577,631,0.0213,0.8374,528.4,17.8652,14,0.0114,955.17,1.808,37.74
2024-10-26,Project Alpha,1384,1218,606,0.5728,2.25,240,24259,670,0.0276,0.7911,530.02,21.8484,21,0.0152,1493.87,2.819,25.24
2024-10-27,Project Alpha,1203,1044,654,0.4581,4.02,110,18834,408,0.0217,0.9941,405.59,21.535,28,0.0233,2453.18,6.048,14.49
2024-10-28,Project Alpha,1567,1275,799,0.4634,2.99,196,18335,568,0.031,0.587,333.42,18.1849,35,0.0223,2516.64,7.548,9.53
2024-10-29,Project Alpha,1493,1295,751,0.2899,3.69,166,34738,923,0.0266,0.8131,750.48,21.604,32,0.0214,2366.75,3.154,23.45
2024-10-30,Project Alpha,1616,1503,965,0.3832,3.79,157,41230,836,0.0203,0.6562,548.62,13.3063,36,0.0223,2399.84,4.374,15.24
2024-10-31,Project Alpha,1570,1459,987,0.4698,4.83,151,42274,885,0.0209,0.6296,557.18,13.1802,31,0.0197,1830.77,3.286,17.97
2024-11-01,Project Alpha,1460,1174,517,0.4557,3.47,161,26569,745,0.028,0.4839,360.52,13.5692,35,0.024,2004.29,5.559,10.3
2024-11-02,Project Alpha,1363,1223,545,0.3218,2.62,162,24957,536,0.0215,0.7019,376.19,15.0735,27,0.0198,1652.81,4.394,13.93
2024-11-03,Project Alpha,1364,1195,835,0.4937,3.93,207,22902,360,0.0157,0.9495,341.82,14.9253,29,0.0213,2164.74,6.333,11.79
2024-11-04,Project Alpha,1450,1250,810,0.3329,3.72,199,29460,731,0.0248,0.7126,520.91,17.6819,36,0.0248,1820.9,3.496,14.47
2024-11-05,Project Alpha,1683,1349,637,0.4485,3.51,170,42974,813,0.0189,0.7746,629.78,14.6549,24,0.0143,1550.62,2.462,26.24
2024-11-06,Project Alpha,1883,1641,841,0.3637,2.49,62,46862,1255,0.0268,0.6929,869.65,18.5577,54,0.0287,3191.14,3.669,16.1
2024-11-07,Project Alpha,1926,1614,1053,0.6657,2.68,198,34350,923,0.0269,1.0498,969.0,28.2096,27,0.014,1771.5,1.828,35.89
2024-11-08,Project Alpha,1522,1373,566,0.6222,3.27,144,42233,844,0.02,0.9921,837.3,19.8257,27,0.0177,1479.4,1.767,31.01
2024-11-09,Project Alpha,1382,1142,491,0.5686,3.6,209,23828,483,0.0203,1.0402,502.42,21.0853,33,0.0239,1847.18,3.677,15.22
2024-11-10,Project Alpha,1448,1274,526,0.5725,4.12,245,29972,889,0.0297,0.7416,659.29,21.9969,24,0.0166,1315.51,1.995,27.47
2024-11-11,Project Alpha,1245,1078,629,0.4279,2.91,178,28938,871,0.0301,0.7067,615.54,21.271,34,0.0273,1940.28,3.152,18.1
2024-11-12,Project Alpha,1881,1710,1082,0.436,2.37,187,44898,1214,0.027,0.864,1048.84,23.3605,33,0.0175,1974.92,1.883,31.78
2024-11-13,Project Alpha,1813,1588,1036,0.4809,4.29,175,27314,1127,0.0413,0.5183,584.1,21.3846,44,0.0243,3246.2,5.558,13.28
2024-11-14,Project Alpha,1551,1348,543,0.4978,3.68,123,19425,642,0.0331,1.0672,685.13,35.2705,38,0.0245,2026.93,2.958,18.03
2024-11-15,Project Alpha,1601,1366,868,0.4366,3.11,129,25713,747,0.0291,0.8671,647.74,25.1911,30,0.0187,1710.05,2.64,21.59
2024-11-16,Project Alpha,1223,1111,740,0.2406,1.91,230,11829,420,0.0355,0.5559,233.48,19.7379,37,0.0303,2205.92,9.448,6.31
2024-11-17,Project Alpha,1736,1556,653,0.6042,4.5,257,28139,916,0.0326,0.8948,819.64,29.1283,38,0.0219,2956.25,3.607,21.57
2024-11-18,Project Alpha,1751,1587,1010,0.3851,1.16,201,34437,768,0.0223,0.7868,604.24,17.5462,37,0.0211,2950.98,4.884,16.33
2024-11-19,Project Alpha,1813,1722,1171,0.3476,4.4,219,37712,1080,0.0286,0.6465,698.21,18.5143,54,0.0298,2489.98,3.566,12.93
2024-11-20,Project Alpha,1523,1301,651,0.4849,2.73,199,76349,1004,0.0132,0.7254,728.34,9.5396,17,0.0112,1190.13,1.634,42.84
2024-11-21,Project Alpha,1592,1383,754,0.4472,4.34,239,36219,802,0.0221,0.875,701.75,19.3752,39,0.0245,2316.95,3.302,17.99
2024-11-22,Project Alpha,1614,1308,546,0.4622,2.42,124,26011,708,0.0272,0.9462,669.89,25.7541,27,0.0167,2147.95,3.206,24.81
2024-11-23,Project Alpha,1319,1068,583,0.2076,3.72,198,36787,855,0.0232,0.8826,754.58,20.5121,28,0.0212,1655.1,2.193,26.95
2024-11-24,Project Alpha,1532,1451,692,0.3581,2.32,190,80995,1350,0.0167,0.5416,731.13,9.0269,45,0.0294,2602.7,3.56,16.25
2024-11-25,Project Alpha,1473,1366,776,0.3484,3.14,184,27513,807,0.0293,0.7413,598.21,21.7428,32,0.0217,1821.35,3.045,18.69
2024-11-26,Project Alpha,1516,1428,935,0.4442,2.79,255,19106,689,0.0361,0.8033,553.49,28.9694,26,0.0172,1643.64,2.97,21.29
2024-11-27,Project Alpha,2016,1629,1036,0.3854,2.54,143,47527,905,0.019,1.0599,959.25,20.1833,40,0.0198,2799.45,2.918,23.98
2024-11-28,Project Alpha,1767,1618,660,0.4468,3.06,131,40751,1040,0.0255,0.8478,881.71,21.6365,30,0.017,1825.29,2.07,29.39
2024-11-29,Project Alpha,1770,1622,1118,0.4613,2.09,206,65357,1361,0.0208,0.9728,1323.99,20.2578,48,0.0271,3030.23,2.289,27.58
2024-11-30,Project Alpha,1213,1097,700,0.4618,3.68,145,36460,851,0.0233,0.7464,635.22,17.4224,23,0.019,1280.81,2.016,27.62
2024-12-01,Project Alpha,1494,1294,756,0.4524,4.09,161,28461,792,0.0278,0.8685,687.88,24.1692,21,0.0141,1312.74,1.908,32.76
2024-12-02,Project Alpha,1639,1441,887,0.4233,2.54,191,34203,913,0.0267,0.639,583.36,17.0558,48,0.0293,3736.41,6.405,12.15
2024-12-03,Project Alpha,1748,1519,771,0.5797,3.08,120,37033,809,0.0218,0.8875,717.97,19.3873,32,0.0183,1951.86,2.719,22.44
2024-12-04,Project Alpha,1687,1539,916,0.247,2.04,220,53375,1300,0.0244,0.6554,852.03,15.9631,41,0.0243,2193.68,2.575,20.78
2024-12-05,Project Alpha,1953,1763,742,0.4783,2.92,191,57508,1267,0.022,0.5846,740.74,12.8806,18,0.0092,1192.09,1.609,41.15
2024-12-06,Project Alpha,1785,1679,1110,0.3183,3.61,195,72829,1269,0.0174,0.9076,1151.76,15.8146,62,0.0347,3949.82,3.429,18.58
2024-12-07,Project Alpha,1271,1105,729,0.2327,3.69,140,25170,615,0.0244,0.8305,510.75,20.292,24,0.0189,1735.64,3.398,21.28
2024-12-08,Project Alpha,1490,1372,556,0.4817,3.72,141,20089,585,0.0291,0.8588,502.38,25.0077,51,0.0342,3203.88,6.377,9.85
2024-12-09,Project Alpha,1607,1289,697,0.53,1.97,117,62915,1153,0.0183,1.0737,1237.97,19.6769,43,0.0268,2522.77,2.038,28.79
2024-12-10,Project Alpha,1819,1727,1134,0.4033,2.59,166,32570,885,0.0272,0.956,846.09,25.9776,46,0.0253,3075.03,3.634,18.39
2024-12-11,Project Alpha,2027,1779,941,0.3846,1.82,188,32633,1096,0.0336,0.9525,1043.9,31.9891,61,0.0301,5005.56,4.795,17.11
2024-12-12,Project Alpha,1600,1403,605,0.5283,2.92,56,32476,898,0.0277,0.807,724.66,22.3137,53,0.0331,3123.25,4.31,13.67
2024-12-13,Project Alpha,1683,1411,718,0.3888,3.07,145,35797,740,0.0207,0.7867,582.16,16.2628,27,0.016,1578.78,2.712,21.56
2024-12-14,Project Alpha,1407,1127,525,0.4507,3.86,139,32678,915,0.028,0.7744,708.56,21.6831,37,0.0263,2481.91,3.503,19.15
2024-12-15,Project Alpha,1379,1127,568,0.5576,3.11,250,25141,619,0.0246,0.5578,345.28,13.7337,38,0.0276,2402.76,6.959,9.09
2024-12-16,Project Alpha,1831,1550,1003,0.6031,3.2,137,45836,943,0.0206,0.4557,429.73,9.3754,32,0.0175,2014.13,4.687,13.43
2024-12-17,Project Alpha,1659,1514,638,0.4275,2.64,172,27556,765,0.0278,1.0257,784.7,28.4766,39,0.0235,2823.59,3.598,20.12
2024-12-18,Project Alpha,1952,1597,1071,0.5137,3.14,131,63711,917,0.0144,0.7122,653.09,10.2508,44,0.0225,2928.58,4.484,14.84
2024-12-19,Project Alpha,1630,1388,859,0.5469,3.4,135,17481,631,0.0361,0.9471,597.6,34.1857,33,0.0202,2606.2,4.361,18.11
2024-12-20,Project Alpha,1774,1647,1112,0.4989,1.83,133,84423,1142,0.0135,0.9652,1102.27,13.0565,52,0.0293,2826.88,2.565,21.2
2024-12-21,Project Alpha,1405,1215,538,0.4192,3.65,223,19037,642,0.0337,0.7665,492.11,25.8502,41,0.0292,2191.93,4.454,12.0
2024-12-22,Project Alpha,1274,1061,739,0.5772,4.42,144,16833,416,0.0247,0.8874,369.16,21.9307,28,0.022,1700.87,4.607,13.18
2024-12-23,Project Alpha,1715,1380,713,0.4241,4.22,190,44918,1040,0.0232,0.7466,776.45,17.2859,20,0.0117,1010.18,1.301,38.82
2024-12-24,Project Alpha,1978,1628,922,0.2461,4.2,176,46170,1091,0.0236,0.674,735.28,15.9255,35,0.0177,2217.62,3.016,21.01
2024-12-25,Project Alpha,1828,1537,1060,0.2521,3.62,116,46612,1235,0.0265,0.6529,806.33,17.2988,44,0.0241,3245.87,4.025,18.33
2024-12-26,Project Alpha,2218,1841,955,0.5627,3.08,139,96434,1492,0.0155,0.8406,1254.17,13.0055,56,0.0252,4232.84,3.375,22.4
2024-12-27,Project Alpha,1736,1423,907,0.4769,2.86,192,41781,948,0.0227,0.7953,753.96,18.0455,41,0.0236,3083.1,4.089,18.39
2024-12-28,Project Alpha,1279,1062,668,0.3657,3.27,56,18225,765,0.042,0.7912,605.28,33.2115,31,0.0242,2172.51,3.589,19.53
2024-12-29,Project Alpha,1653,1465,1006,0.4303,2.99,156,31166,1000,0.0321,0.3295,329.54,10.5737,58,0.0351,3633.48,11.026,5.68
2024-12-30,Project Alpha,1938,1589,778,0.5601,3.9,141,58216,1130,0.0194,0.9525,1076.33,18.4886,49,0.0253,3531.41,3.281,21.97
2024-12-31,Project Alpha,2015,1836,813,0.53,3.63,218,29429,866,0.0294,0.9712,841.08,28.58,33,0.0164,2137.27,2.541,25.49
2025-01-01,Project Alpha,1632,1322,667,0.2867,3.17,158,32951,830,0.0252,0.8002,664.16,20.156,27,0.0165,1928.55,2.904,24.6
2025-01-02,Project Alpha,2064,1667,703,0.2892,2.57,130,57253,1095,0.0191,0.769,842.04,14.7074,24,0.0116,1528.99,1.816,35.09
2025-01-03,Project Alpha,1763,1570,797,0.4523,2.5,180,40998,1027,0.0251,1.0881,1117.46,27.2565,53,0.0301,3553.34,3.18,21.08
2025-01-04,Project Alpha,1447,1210,743,0.4976,3.45,212,16640,703,0.0422,0.7186,505.15,30.3576,14,0.0097,906.17,1.794,36.08
2025-01-05,Project Alpha,1633,1320,824,0.3553,2.66,165,18018,558,0.031,0.932,520.06,28.8634,27,0.0165,1581.75,3.041,19.26
2025-01-06,Project Alpha,1746,1491,717,0.4024,3.71,176,36589,959,0.0262,0.778,746.12,20.3919,38,0.0218,3204.22,4.295,19.63
2025-01-07,Project Alpha,2256,2043,820,0.3172,3.47,128,51685,1354,0.0262,0.8142,1102.41,21.3294,53,0.0235,3125.83,2.835,20.8
2025-01-08,Project Alpha,1928,1769,1049,0.4361,2.78,165,23403,673,0.0288,0.4326,291.15,12.4407,25,0.013,1279.73,4.395,11.65
2025-01-09,Project Alpha,2162,2005,930,0.418,2.84,259,55852,1301,0.0233,0.5514,717.37,12.8441,59,0.0273,4051.53,5.648,12.16
2025-01-10,Project Alpha,1623,1478,731,0.3311,4.25,124,25871,750,0.029,0.8965,672.38,25.9897,17,0.0105,1124.73,1.673,39.55
2025-01-11,Project Alpha,1315,1056,462,0.3366,2.95,46,15669,468,0.0299,0.7969,372.96,23.8024,27,0.0205,1760.91,4.721,13.81
2025-01-12,Project Alpha,1699,1532,756,0.5215,3.6,184,31008,779,0.0251,0.8947,696.96,22.4768,48,0.0283,2772.64,3.978,14.52
2025-01-13,Project Alpha,1439,1231,493,0.4756,3.79,104,27648,807,0.0292,0.5439,438.89,15.8742,24,0.0167,1535.84,3.499,18.29
2025-01-14,Project Alpha,1661,1515,821,0.4521,3.26,108,41281,873,0.0211,0.7492,654.02,15.8431,41,0.0247,3229.84,4.938,15.95
2025-01-15,Project Alpha,2096,1877,969,0.413,2.28,203,32459,941,0.029,0.958,901.45,27.772,45,0.0215,2784.67,3.089,20.03
2025-01-16,Project Alpha,1991,1637,659,0.3665,4.56,92,39993,1046,0.0262,0.8011,837.94,20.9522,55,0.0276,3243.79,3.871,15.24
2025-01-17,Project Alpha,2216,1917,792,0.2606,2.96,109,37915,1054,0.0278,0.5443,573.69,15.131,56,0.0253,4745.27,8.271,10.24
2025-01-18,Project Alpha,1366,1108,650,0.4926,3.11,136,27844,781,0.028,0.7695,600.94,21.5824,43,0.0315,3287.74,5.471,13.98
2025-01-19,Project Alpha,1679,1538,845,0.3297,3.53,155,21086,610,0.0289,0.9412,574.12,27.2275,32,0.0191,1933.35,3.368,17.94
2025-01-20,Project Alpha,1920,1659,678,0.66,2.93,148,66817,1400,0.021,0.771,1079.41,16.1547,25,0.013,1234.21,1.143,43.18
2025-01-21,Project Alpha,2075,1956,1121,0.465,3.93,138,28068,773,0.0275,0.6062,468.6,16.6952,56,0.027,3647.79,7.784,8.37
2025-01-22,Project Alpha,1870,1558,641,0.4093,3.58,169,44289,1269,0.0287,0.5497,697.6,15.7511,31,0.0166,2304.52,3.303,22.5
2025-01-23,Project Alpha,2153,2028,1354,0.4209,4.09,146,20664,470,0.0227,0.5996,281.82,13.6382,53,0.0246,3903.3,13.85,5.32
2025-01-24,Project Alpha,1773,1473,621,0.1896,3.24,184,45338,1248,0.0275,0.6286,784.53,17.304,28,0.0158,1935.38,2.467,28.02
2025-01-25,Project Alpha,1627,1371,723,0.5553,3.58,49,31721,648,0.0204,0.9087,588.84,18.5631,23,0.0141,1644.42,2.793,25.6
2025-01-26,Project Alpha,1748,1509,741,0.5694,2.41,144,42348,1181,0.0279,0.7598,897.27,21.188,55,0.0315,2652.6,2.956,16.31
2025-01-27,Project Alpha,1789,1577,966,0.4729,3.44,139,25216,720,0.0286,0.9041,650.93,25.8142,22,0.0123,1655.64,2.543,29.59
2025-01-28,Project Alpha,1855,1695,730,0.6496,5.28,192,48711,1162,0.0239,0.942,1094.63,22.4719,51,0.0275,3278.1,2.995,21.46
2025-01-29,Project Alpha,2332,2167,1045,0.5424,2.72,189,74228,1253,0.0169,0.8703,1090.51,14.6914,63,0.027,4376.19,4.013,17.31
2025-01-30,Project Alpha,2372,2235,1227,0.3408,2.83,196,46095,1397,0.0303,0.7885,1101.6,23.8985,51,0.0215,3541.15,3.215,21.6
2025-01-31,Project Alpha,2029,1872,1056,0.3499,4.37,166,54226,1275,0.0235,0.4555,580.72,10.7093,59,0.0291,3559.55,6.13,9.84
2025-02-01,Project Alpha,1496,1262,835,0.556,3.53,195,67729,1115,0.0165,0.8418,938.61,13.8583,34,0.0227,1997.92,2.129,27.61
2025-02-02,Project Alpha,1528,1303,764,0.3398,3.95,125,43249,896,0.0207,0.7143,639.99,14.7978,16,0.0105,865.82,1.353,40.0
2025-02-03,Project Alpha,2174,1758,900,0.466,3.45,215,35797,1219,0.0341,0.5878,716.57,20.0176,44,0.0202,2633.47,3.675,16.29
2025-02-04,Project Alpha,1988,1883,791,0.2832,2.17,168,30383,1047,0.0345,0.5046,528.33,17.389,32,0.0161,1613.08,3.053,16.51
2025-02-05,Project Alpha,1999,1661,905,0.3578,2.4,174,28545,726,0.0254,0.8283,601.34,21.0664,43,0.0215,2872.85,4.777,13.98
2025-02-06,Project Alpha,2105,1881,1118,0.3687,3.93,210,72379,1097,0.0152,0.9628,1056.22,14.5929,50,0.0238,3518.84,3.332,21.12
2025-02-07,Project Alpha,1978,1643,947,0.5547,3.92,154,31624,782,0.0247,0.8823,689.94,21.817,42,0.0212,2933.72,4.252,16.43
2025-02-08,Project Alpha,1599,1440,998,0.492,2.49,158,30691,828,0.027,0.7301,604.54,19.6976,18,0.0113,1477.05,2.443,33.59
2025-02-09,Project Alpha,1963,1758,831,0.3997,3.28,178,33950,799,0.0235,0.6895,550.92,16.2274,65,0.0331,4034.37,7.323,8.48
2025-02-10,Project Alpha,2282,1853,1270,0.5497,3.39,185,80198,1303,0.0162,0.9391,1223.6,15.2572,64,0.028,3683.71,3.011,19.12
2025-02-11,Project Alpha,2134,1826,1235,0.5573,4.75,129,81865,1340,0.0164,0.9155,1226.7,14.9844,77,0.0361,4441.48,3.621,15.93
2025-02-12,Project Alpha,2350,2031,1082,0.3483,3.48,173,30992,682,0.022,0.8041,548.37,17.6939,22,0.0094,1427.03,2.602,24.93
2025-02-13,Project Alpha,1950,1831,790,0.4007,4.11,108,25131,756,0.0301,0.7552,570.96,22.7194,50,0.0256,2743.56,4.805,11.42
2025-02-14,Project Alpha,1967,1776,769,0.4665,2.39,114,30988,794,0.0256,0.5838,463.56,14.9593,26,0.0132,1812.15,3.909,17.83
2025-02-15,Project Alpha,1779,1505,1015,0.4375,3.33,168,82934,923,0.0111,0.6638,612.66,7.3873,23,0.0129,1498.21,2.445,26.64
2025-02-16,Project Alpha,1822,1687,1109,0.5347,2.83,236,60366,1093,0.0181,0.8889,971.55,16.0943,29,0.0159,1766.99,1.819,33.5
2025-02-17,Project Alpha,1933,1594,639,0.5476,3.74,108,28291,717,0.0253,0.5986,429.22,15.1716,44,0.0228,2204.82,5.137,9.76
2025-02-18,Project Alpha,1849,1495,773,0.51,2.58,133,41201,1059,0.0257,0.5462,578.47,14.0402,18,0.0097,1498.35,2.59,32.14
2025-02-19,Project Alpha,2284,2068,934,0.1864,3.1,179,34864,1073,0.0308,0.8137,873.11,25.0433,45,0.0197,2578.63,2.953,19.4
2025-02-20,Project Alpha,2214,1840,952,0.3694,3.01,172,109001,896,0.0082,1.2193,1092.52,10.023,32,0.0145,2536.82,2.322,34.14
2025-02-21,Project Alpha,2162,1812,730,0.4781,4.33,181,37255,1022,0.0274,0.9958,1017.68,27.3166,44,0.0204,3473.54,3.413,23.13
2025-02-22,Project Alpha,1765,1646,889,0.4202,2.97,133,46011,1071,0.0233,0.7029,752.84,16.3622,41,0.0232,3144.73,4.177,18.36
2025-02-23,Project Alpha,1684,1457,1019,0.2623,3.53,136,42415,745,0.0176,0.7705,574.0,13.5329,57,0.0338,3547.81,6.181,10.07
2025-02-24,Project Alpha,2276,1824,849,0.5468,2.95,259,41982,1120,0.0267,0.8732,977.94,23.2943,72,0.0316,5174.56,5.291,13.58
2025-02-25,Project Alpha,2353,2166,1203,0.491,2.5,228,47204,1386,0.0294,0.7233,1002.47,21.237,57,0.0242,3826.15,3.817,17.59
2025-02-26,Project Alpha,2345,2106,1404,0.5942,4.41,214,45982,1123,0.0244,0.6644,746.1,16.2259,41,0.0175,2229.42,2.988,18.2
